Country,Job Title,Rural,Quantity,Percentage
Spain,Analytical Data Miner,Urban,1,0.1%
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Rural,2,0.2%
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Urban,9,0.9%
Spain,Automatic Data Processing Planner,Rural,1,0.1%
Spain,Automatic Data Processing Planner,Urban,8,0.8%
Spain,Automatic Data Processing Planner (ADP Planner),Urban,11,1.09%
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Rural,2,0.2%
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Urban,5,0.5%
Spain,Business Database Analyst,Urban,2,0.2%
Spain,Clinical Data Abstractor,Urban,1,0.1%
Spain,Clinical Data Associate,Urban,2,0.2%
Spain,Clinical Data Management Manager (CDM Manager),Rural,1,0.1%
Spain,Clinical Data Management Manager (CDM Manager),Urban,2,0.2%
Spain,Clinical Data Manager,Urban,2,0.2%
Spain,Clinical Data Specialist,Urban,1,0.1%
Spain,Computer or Data Processing Systems Consultant,Rural,1,0.1%
Spain,Computer or Data Processing Systems Consultant,Urban,8,0.8%
Spain,Crime Data Specialist,Urban,1,0.1%
Spain,Data Administrator,Urban,2,0.2%
Spain,Data Analysis Assistant,Urban,1,0.1%
Spain,Data Analyst,Urban,1,0.1%
Spain,Data Architect,Rural,1,0.1%
Spain,Data Architect,Urban,7,0.7%
Spain,Data Base Design Analyst,Urban,6,0.6%
Spain,Data Collector,Rural,1,0.1%
Spain,Data Communications Analyst,Urban,5,0.5%
Spain,Data Communications Software Consultant,Rural,1,0.1%
Spain,Data Communications Software Consultant,Urban,9,0.9%
Spain,Data Communications Technician,Urban,2,0.2%
Spain,Data Compiler,Rural,1,0.1%
Spain,Data Compiler,Urban,3,0.3%
Spain,Data Control Clerk Supervisor,Urban,1,0.1%
Spain,Data Conversion Operator,Urban,1,0.1%
Spain,Data Coordinator,Rural,1,0.1%
Spain,Data Coordinator,Urban,9,0.9%
Spain,Data Entry Associate,Rural,1,0.1%
Spain,Data Entry Machine Operator,Rural,2,0.2%
Spain,Data Entry Machine Operator,Urban,1,0.1%
Spain,Data Entry Operator,Urban,1,0.1%
Spain,Data Entry Representative,Urban,1,0.1%
Spain,Data Entry Specialist,Rural,1,0.1%
Spain,Data Entry Supervisor,Urban,1,0.1%
Spain,Data Examination Clerk,Urban,1,0.1%
Spain,Data Input Clerk,Urban,1,0.1%
Spain,Data Keyer,Urban,1,0.1%
Spain,Data Management Associate,Rural,1,0.1%
Spain,Data Management Associate,Urban,9,0.9%
Spain,Data Management Information Technology Specialist,Urban,5,0.5%
Spain,Data Management Manager,Urban,1,0.1%
Spain,Data Miner,Rural,2,0.2%
Spain,Data Miner,Urban,3,0.3%
Spain,Data Modeler,Urban,1,0.1%
Spain,Data Modeling Specialist,Rural,2,0.2%
Spain,Data Modeling Specialist,Urban,7,0.7%
Spain,Data Officer,Urban,2,0.2%
Spain,Data Operations Director,Urban,4,0.4%
Spain,Data Processing Auditor,Rural,1,0.1%
Spain,Data Processing Auditor,Urban,3,0.3%
Spain,Data Processing Auxiliary Equipment Operator,Urban,2,0.2%
Spain,Data Processing Clerk,Rural,1,0.1%
Spain,Data Processing Clerk,Urban,2,0.2%
Spain,Data Processing Consultant,Rural,1,0.1%
Spain,Data Processing Consultant,Urban,5,0.5%
Spain,Data Processing Equipment Repairer,Rural,1,0.1%
Spain,Data Processing Equipment Repairer,Urban,3,0.3%
Spain,Data Processing Manager,Urban,8,0.8%
Spain,Data Processing Mechanic,Urban,1,0.1%
Spain,Data Processing Supervisor,Urban,2,0.2%
Spain,Data Processing Systems Analyst,Rural,1,0.1%
Spain,Data Processing Systems Analyst,Urban,9,0.9%
Spain,Data Processing Systems Project Planner,Rural,1,0.1%
Spain,Data Processing Systems Project Planner,Urban,7,0.7%
Spain,Data Recovery Planner,Rural,1,0.1%
Spain,Data Recovery Planner,Urban,1,0.1%
Spain,Data Reduction Technician,Urban,4,0.4%
Spain,Data Reviewer,Urban,1,0.1%
Spain,Data Sciences Director,Rural,1,0.1%
Spain,Data Sciences Director,Urban,4,0.4%
Spain,Data Scientist,Urban,7,0.7%
Spain,Data Security Administrator,Rural,2,0.2%
Spain,Data Security Administrator,Urban,9,0.9%
Spain,Data Security Analyst,Rural,2,0.2%
Spain,Data Security Analyst,Urban,8,0.8%
Spain,Data Storage Specialist,Rural,1,0.1%
Spain,Data Storage Specialist,Urban,4,0.4%
Spain,Data Systems Manager,Rural,1,0.1%
Spain,Data Systems Manager,Urban,10,1.0%
Spain,Data Technician,Urban,2,0.2%
Spain,Data Transcriber,Urban,2,0.2%
Spain,Data Typist,Urban,1,0.1%
Spain,Data Warehouse Analyst,Rural,1,0.1%
Spain,Data Warehouse Analyst,Urban,7,0.7%
Spain,Data Warehouse Architect,Rural,1,0.1%
Spain,Data Warehouse Architect,Urban,8,0.8%
Spain,Data Warehouse Developer,Urban,2,0.2%
Spain,Data Warehouse Specialist,Rural,2,0.2%
Spain,Data Warehouse Specialist,Urban,7,0.7%
Spain,Data Warehousing Engineer,Rural,1,0.1%
Spain,Data Warehousing Engineer,Urban,4,0.4%
Spain,Data Warehousing Manager,Urban,5,0.5%
Spain,Data Warehousing Specialist,Urban,3,0.3%
Spain,Database Administration Associate,Urban,7,0.7%
Spain,Database Administration Manager,Rural,3,0.3%
Spain,Database Administration Manager,Urban,5,0.5%
Spain,Database Administration Project Manager,Urban,2,0.2%
Spain,Database Architect,Rural,1,0.1%
Spain,Database Architect,Urban,7,0.7%
Spain,Database Consultant,Urban,3,0.3%
Spain,Database Coordinator,Rural,3,0.3%
Spain,Database Coordinator,Urban,9,0.9%
Spain,Database Design Analyst,Urban,4,0.4%
Spain,Database Designer,Rural,3,0.3%
Spain,Database Designer,Urban,2,0.2%
Spain,Database Developer,Urban,1,0.1%
Spain,Database Development Project Manager,Rural,1,0.1%
Spain,Database Development Project Manager,Urban,1,0.1%
Spain,Database Development and Administration Project Manager,Rural,2,0.2%
Spain,Database Development and Administration Project Manager,Urban,11,1.09%
Spain,Database Engineer,Rural,1,0.1%
Spain,Database Engineer,Urban,10,1.0%
Spain,Database Management System Specialist (DBMS Specialist),Rural,3,0.3%
Spain,Database Management System Specialist (DBMS Specialist),Urban,10,1.0%
Spain,Database Manager,Rural,1,0.1%
Spain,Database Manager,Urban,8,0.8%
Spain,Database Marketing Analyst,Rural,2,0.2%
Spain,Database Marketing Analyst,Urban,4,0.4%
Spain,Database Modeler,Rural,1,0.1%
Spain,Database Modeler,Urban,1,0.1%
Spain,Database Security Administrator,Rural,1,0.1%
Spain,Database Security Administrator,Urban,7,0.7%
Spain,Database Security Expert,Rural,2,0.2%
Spain,Database Security Expert,Urban,6,0.6%
Spain,Database Software Technician,Rural,2,0.2%
Spain,Database Software Technician,Urban,6,0.6%
Spain,Database Specialist,Rural,1,0.1%
Spain,Database Specialist,Urban,4,0.4%
Spain,Database Technician,Urban,1,0.1%
Spain,Database Tester,Rural,1,0.1%
Spain,Database Tester,Urban,2,0.2%
Spain,Databases Computer Consultant,Rural,1,0.1%
Spain,Databases Computer Consultant,Urban,4,0.4%
Spain,Databases Software Consultant,Urban,7,0.7%
Spain,Datastage Developer,Urban,1,0.1%
Spain,Director of Data Operations,Urban,8,0.8%
Spain,Electronic Data Interchange System Developer (EDI System Developer),Urban,9,0.9%
Spain,Electronic Data Processing Auditor (EDP Auditor),Urban,6,0.6%
Spain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",Urban,5,0.5%
Spain,Field Artillery Automated Tactical Data System Specialist,Urban,2,0.2%
Spain,Field Traffic Data Technician,Urban,1,0.1%
Spain,Flight Data Technician,Urban,1,0.1%
Spain,Flight Test Data Acquisition Technician,Urban,3,0.3%
Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Rural,1,0.1%
Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),Urban,8,0.8%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),Rural,3,0.3%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),Urban,7,0.7%
Spain,Geographic Information Systems Data Specialist (GIS Data Specialist),Urban,5,0.5%
Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Rural,1,0.1%
Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),Urban,7,0.7%
Spain,Head of Information Systems and Data Processing,Rural,2,0.2%
Spain,Head of Information Systems and Data Processing,Urban,6,0.6%
Spain,Health Data Analyst,Urban,2,0.2%
Spain,Internet Database Specialist,Rural,2,0.2%
Spain,Internet Database Specialist,Urban,1,0.1%
Spain,LiDAR Data Analyst,Urban,2,0.2%
Spain,Maintenance Data Analyst,Urban,1,0.1%
Spain,Marketing Database Analyst,Rural,1,0.1%
Spain,Medical Data Analyst,Urban,1,0.1%
Spain,Micro Computer Data Processor,Rural,1,0.1%
Spain,Micro Computer Data Processor,Urban,2,0.2%
Spain,Naval Tactical Data System--Combat Information Center Officer,Urban,3,0.3%
Spain,"Operations Officer, Afloat (Naval Tactical Data Systems)",Urban,1,0.1%
Spain,Oracle Database Administrator (Oracle DBA),Urban,7,0.7%
Spain,Reference Data Expert,Rural,1,0.1%
Spain,Reference Data Expert,Urban,1,0.1%
Spain,SCADA Operator (Supervisory Control and Data Acquisition Operator),Urban,1,0.1%
Spain,SCADA Technician (Supervisory Control and Data Acquisition Technician),Urban,1,0.1%
Spain,SQL Database Administrator,Rural,3,0.3%
Spain,SQL Database Administrator,Urban,5,0.5%
Spain,Scientific Database Curator,Urban,2,0.2%
Spain,Survey Data Technician,Urban,1,0.1%
Spain,Unemployed,Rural,108,10.75%
Spain,Unemployed,Urban,315,31.34%
Spain,Voice and Data Technician,Urban,2,0.2%
Spain,Weight in Motion Field Data Collection Technician,Urban,4,0.4%
